Законопроекты на 22.05.2022,,,,,,,,,
№,"Номер, наименование",Дата внесения,СПЗИ,Последнее событие,Дата последнего события,Ответственный комитет,Профильный комитет,Комитеты-соисполнители,Отрасль законодательства
377,"81184-8
О внесении изменения в статью 22 Федерального закона ""О воинской обязанности и военной службе""
(по вопросу призыва граждан на военную службу)",03.03.2022,"Депутаты ГД А.К.Луговой, Я.Е.Нилов","2.2 Рассмотрение Советом Государственной Думы законопроекта, внесенного в Государственную Думу (предварительное рассмотрение)
назначить ответственный комитет - Ответственный комитет: Комитет Государственной Думы по оборонепредставить отзывы, предложения и замечания к законопроекту - Срок представления отзывов, предложений и замечаний в комитет: 01.06.2022подготовить законопроект к рассмотрению Государственной Думойвключить законопроект в примерную программунаправить законопроект на заключение в Правовое управление",04.04.2022,Комитет Государственной Думы по обороне,Комитет Государственной Думы по обороне,, 150.000.000 Оборона
378,"81152-8
О внесении изменений в статью 5 Федерального закона ""О потребительском кредите (займе)""
(в части установления запрета уступки кредитором третьим лицам прав (требований) по договору потребительского кредита (займа)",03.03.2022,"Депутаты ГД С.М.Миронов, Г.Ю.Семигин, О.А.Нилов, В.К.Гартунг, Д.Г.Гусев, А.А.Кузнецов, А.А.Ремезков, М.Г.Делягин, И.А.Ананских, Я.В.Лантратова; Сенатор РФ О.Н.Епифанова","2.2 Рассмотрение Советом Государственной Думы законопроекта, внесенного в Государственную Думу (предварительное рассмотрение)
назначить ответственный комитет - Ответственный комитет: Комитет Государственной Думы по финансовому рынкупредставить отзывы, предложения и замечания к законопроекту - Срок представления отзывов, предложений и замечаний в комитет: 04.05.2022подготовить законопроект к рассмотрению Государственной Думойвключить законопроект в примерную программунаправить законопроект на заключение в Правовое управление",04.04.2022,Комитет Государственной Думы по финансовому рынку,Комитет Государственной Думы по финансовому рынку,, 080.000.000 Финансы
379,"80508-8
О внесении изменений в отдельные законодательные акты Российской Федерации
(в части ограничения увеличения переменной процентной ставки при ипотеке жилых домов и квартир)",02.03.2022,"Депутаты ГД С.В.Авксентьева, В.А.Даванков, М.А.Гулин, А.О.Ткачев, К.А.Горячева, Г.К.Арапов","2.2 Рассмотрение Советом Государственной Думы законопроекта, внесенного в Государственную Думу (предварительное рассмотрение)
назначить ответственный комитет - Ответственный комитет: Комитет Государственной Думы по финансовому рынкупредставить отзывы, предложения и замечания к законопроекту - Срок представления отзывов, предложений и замечаний в комитет: 16.05.2022подготовить законопроект к рассмотрению Государственной Думойвключить законопроект в примерную программунаправить законопроект на заключение в Правовое управление",04.04.2022,Комитет Государственной Думы по финансовому рынку,Комитет Государственной Думы по финансовому рынку,, 080.000.000 Финансы
380,"80490-8
О внесении изменений в Федеральный закон от 16 июля 1998 года № 102-ФЗ ""Об ипотеке (залоге недвижимости)""
(в части установления особенностей обращения взыскания на заложенное имущество)",02.03.2022,"Депутаты ГД С.В.Авксентьева, В.А.Даванков, М.А.Гулин, А.О.Ткачев, К.А.Горячева, Г.К.Арапов","2.2 Рассмотрение Советом Государственной Думы законопроекта, внесенного в Государственную Думу (предварительное рассмотрение)
назначить ответственный комитет - Ответственный комитет: Комитет Государственной Думы по финансовому рынкупредставить отзывы, предложения и замечания к законопроекту - Срок представления отзывов, предложений и замечаний в комитет: 16.05.2022подготовить законопроект к рассмотрению Государственной Думойвключить законопроект в примерную программунаправить законопроект на заключение в Правовое управлениеназначить комитет-соисполнитель - Комитеты-соисполнители:  Комитет Государственной Думы по вопросам собственности, земельным и имущественным отношениям,  Комитет Государственной Думы по строительству и жилищно-коммунальному хозяйству",04.04.2022,Комитет Государственной Думы по финансовому рынку,Комитет Государственной Думы по финансовому рынку,"Комитет Государственной Думы по вопросам собственности, земельным и имущественным отношениям, Комитет Государственной Думы по строительству и жилищно-коммунальному хозяйству", 080.110.060 Иные вопросы банковской деятельности
383,"77579-8
О внесении изменений в статьи 8 и 9 Федерального закона ""Об основах государственного регулирования торговой деятельности в Российской Федерации""
(об установлении предельного размера торговой надбавки (наценки) к отпускным ценам на отдельные виды социально значимых продовольственных товаров первой необходимости)",25.02.2022,"Депутаты ГД А.В.Гордеев, В.И.Кашин, В.Н.Плотников, О.А.Нилов, В.Н.Блоцкий, Н.И.Васильев, Р.И.Сулейманов, С.В.Яхнюк; Сенаторы РФ А.П.Майоров, С.Г.Митин","3.2 Рассмотрение Советом Государственной Думы законопроекта, представленного ответственным комитетом (первое чтение)
назначить комитет-соисполнитель",04.04.2022,Комитет Государственной Думы по промышленности и торговле,Комитет Государственной Думы по промышленности и торговле,"Комитет Государственной Думы по аграрным вопросам, Комитет Государственной Думы по защите конкуренции", 090.000.000 Хозяйственная деятельность
385,"75095-8
О внесении изменений в статью 29.1. Лесного кодекса Российской Федерации
(в части установления особенностей осуществления заготовки древесины государственными бюджетными и автономными учреждениями)",21.02.2022,Депутат ГД М.Н.Прусакова,"2.2 Рассмотрение Советом Государственной Думы законопроекта, внесенного в Государственную Думу (предварительное рассмотрение)
назначить ответственный комитет - Ответственный комитет: Комитет Государственной Думы по экологии, природным ресурсам и охране окружающей средыпредставить отзывы, предложения и замечания к законопроекту - Срок представления отзывов, предложений и замечаний в комитет: 03.05.2022подготовить законопроект к рассмотрению Государственной Думойвключить законопроект в примерную программунаправить законопроект на заключение в Правовое управление",04.04.2022,"Комитет Государственной Думы по экологии, природным ресурсам и охране окружающей среды","Комитет Государственной Думы по экологии, природным ресурсам и охране окружающей среды",," 110.000.000 Природные ресурсы и охрана окружающей природной среды,  110.050.000 Использование, охрана, защита и воспроизводство лесов"
387,"71516-8
Об установлении коэффициента замещения страховой пенсией по старости утраченного заработка в размере минимум 40 процентов в соответствии с Конвенцией № 102 Международной организации труда ""О минимальных нормах социального обеспечения"", ратифицированной Российской Федерацией",15.02.2022,"Депутаты ГД С.М.Миронов, Г.Ю.Семигин, О.А.Нилов, В.К.Гартунг, Д.Г.Гусев, А.А.Кузнецов, А.В.Чепа, М.Г.Делягин, Н.В.Новичков, И.А.Ананских, Я.В.Лантратова; Сенатор РФ О.Н.Епифанова","2.2 Рассмотрение Советом Государственной Думы законопроекта, внесенного в Государственную Думу (предварительное рассмотрение)
назначить ответственный комитет - Ответственный комитет: Комитет Государственной Думы по труду, социальной политике и делам ветерановпредставить отзывы, предложения и замечания к законопроекту - Срок представления отзывов, предложений и замечаний в комитет: 04.05.2022подготовить законопроект к рассмотрению Государственной Думойвключить законопроект в примерную программунаправить законопроект на заключение в Правовое управление",04.04.2022,"Комитет Государственной Думы по труду, социальной политике и делам ветеранов","Комитет Государственной Думы по труду, социальной политике и делам ветеранов",, 070.000.000 Социальное обеспечение и социальное страхование
389,"33657-8
О внесении изменений в статью 34.2 Закона Российской Федерации ""О занятости населения в Российской Федерации"" в части уточнения условий предоставления дополнительных гарантий социальной поддержки граждан предпенсионного возраста",07.12.2021,"Депутаты ГД С.М.Миронов, О.А.Нилов, В.К.Гартунг, Г.Ю.Семигин, А.А.Кузнецов, И.А.Ананских, Д.Г.Гусев, Н.В.Новичков, Е.Г.Драпеко, Я.В.Лантратова, А.В.Терентьев, Ф.С.Тумусов","3.2 Рассмотрение Советом Государственной Думы законопроекта, представленного ответственным комитетом (первое чтение)
внести законопроект на рассмотрение Государственной Думы",04.04.2022,"Комитет Государственной Думы по труду, социальной политике и делам ветеранов","Комитет Государственной Думы по труду, социальной политике и делам ветеранов",, 060.000.000 Труд и занятость населения
391,"24572-8
О внесении изменения в статью 9 Федерального закона ""О миграционном учете иностранных граждан и лиц без гражданства в Российской Федерации""",24.11.2021,Депутат ГД М.Н.Матвеев,"3.2 Рассмотрение Советом Государственной Думы законопроекта, представленного ответственным комитетом (первое чтение)
внести законопроект на рассмотрение Государственной Думы",04.04.2022,"Комитет Государственной Думы по делам Содружества Независимых Государств, евразийской интеграции и связям с соотечественниками","Комитет Государственной Думы по делам Содружества Независимых Государств, евразийской интеграции и связям с соотечественниками",Комитет Государственной Думы по охране здоровья, 200.050.020 Правовое положение иностранных граждан
397,"25618-8 (в архиве) 
О внесении изменений в Закон Российской Федерации ""Об организации страхового дела в Российской Федерации"" и Федеральный закон ""Об обязательном страховании гражданской ответственности владельцев транспортных средств""
(в части создания перестраховочного пула на рынке обязательного страхования гражданской ответственности владельцев транспортных средств)",26.11.2021,"Депутаты ГД А.Г.Аксаков, К.М.Бахарев, О.В.Савченко, А.Н.Свистунов, О.Д.Димов, В.С.Макаров, Н.Г.Цед, В.Б.Сенин, А.А.Гетта, А.В.Терентьев","8.2 Опубликование закона (Опубликование закона)
закон опубликован",02.04.2022,Комитет Государственной Думы по финансовому рынку,Комитет Государственной Думы по финансовому рынку,, 080.000.000 Финансы
399,"94531-8 (в архиве) 
О внесении изменений в статью 3.12 Кодекса Российской Федерации об административных правонарушениях",25.03.2022,Депутат ГД А.В.Демин,"2.1 Принятие профильным комитетом решения о представлении законопроекта в Совет Государственной Думы (предварительное рассмотрение)
вернуть законопроект субъекту права законодательной инициативы для выполнения требований Конституции Российской Федерации и Регламента Государственной Думы",31.03.2022,,Комитет Государственной Думы по государственному строительству и законодательству,, 020.060.000 Административные правонарушения и административная ответственность
409,"25126-8 (в архиве) 
О внесении изменений в статьи 284 и 284.8 части второй Налогового кодекса Российской Федерации
(в части изменения условий налогообложения учреждений культурно-досугового типа)",25.11.2021,"Депутаты ГД Е.А.Ямпольская, А.Д.Жуков, О.Н.Ануфриева, Е.Г.Драпеко, Д.В.Майданов, Д.А.Певцов, С.А.Шаргунов, А.М.Шолохов, О.М.Германова, Д.В.Кузнецов, С.А.Соловьев","8.2 Опубликование закона (Опубликование закона)
закон опубликован",27.03.2022,Комитет Государственной Думы по бюджету и налогам,Комитет Государственной Думы по бюджету и налогам,Комитет Государственной Думы по культуре," 080.000.000 Финансы,  080.100.000 Налоги и сборы,  080.100.020 Федеральные налоги и сборы"
410,"71871-8 (в архиве) 
О внесении изменений в статью 11 Федерального закона ""О внесении изменений в отдельные законодательные акты Российской Федерации""
(в части изменения срока действия отдельных временных ограничений)",15.02.2022,Депутат ГД А.Г.Аксаков; Сенатор РФ Н.А.Журавлев,"8.2 Опубликование закона (Опубликование закона)
закон опубликован",26.03.2022,Комитет Государственной Думы по финансовому рынку,Комитет Государственной Думы по финансовому рынку,, 080.000.000 Финансы
413,"93391-8
О внесении изменений в Жилищный кодекс Российской Федерации и Федеральный закон ""О государственно-частном партнерстве, муниципально-частном партнерстве в Российской Федерации и о внесении изменений в отдельные законодательные акты Российской Федерации""",23.03.2022,"Депутаты ГД А.В.Якубовский, П.Р.Качкаев, С.В.Разворотнева","1.2 Прохождение законопроекта у Председателя Государственной Думы
направлен в комитет(ы) Государственной Думы - Профильный комитет: Комитет Государственной Думы по строительству и жилищно-коммунальному хозяйству",25.03.2022,,Комитет Государственной Думы по строительству и жилищно-коммунальному хозяйству,,
414,"93500-8
О внесении изменений в статью 333-35 Налогового кодекса Российской Федерации",23.03.2022,Депутат ГД Л.И.Калашников,"1.2 Прохождение законопроекта у Председателя Государственной Думы
направлен в комитет(ы) Государственной Думы - Профильный комитет: Комитет Государственной Думы по бюджету и налогам",25.03.2022,,Комитет Государственной Думы по бюджету и налогам,,
415,"93043-8
О внесении изменения в статью 11.33 Кодекса Российской Федерации об административных правонарушениях",23.03.2022,"Депутаты ГД А.К.Исаев, М.Э.Оргеева, М.Б.Терентьев","1.2 Прохождение законопроекта у Председателя Государственной Думы
направлен в комитет(ы) Государственной Думы - Профильный комитет: Комитет Государственной Думы по государственному строительству и законодательству",23.03.2022,,Комитет Государственной Думы по государственному строительству и законодательству,,
416,"93457-8 (в архиве) 
О внесении изменений в Федеральный закон ""Об общих принципах организации публичной власти в субъектах Российской Федерации""",23.03.2022,"Депутаты ГД Е.А.Федоров, Т.А.Кусайко; Сенаторы РФ К.К.Долгов, Т.А.Сахарова","1.1 Регистрация законопроекта и материалов к нему в САДД ГД
зарегистрирован и направлен Председателю Государственной Думы",23.03.2022,,,,
417,"42406-8 (в архиве) 
О внесении изменений в Федеральный закон ""О закупках товаров, работ, услуг отдельными видами юридических лиц"" в части регулирования отношений, связанных с осуществлением заказчиком закупок товаров, работ, услуг у юридических лиц, которые признаются взаимозависимыми  с ним лицами",20.12.2021,"Депутаты ГД С.М.Миронов, О.А.Нилов, Г.Ю.Семигин, В.К.Гартунг, А.А.Кузнецов, Я.В.Лантратова, А.А.Ремезков, А.В.Терентьев, Ф.С.Тумусов, И.А.Ананских, А.А.Вассерман; Сенатор РФ О.Н.Епифанова","3.3 Рассмотрение законопроекта Государственной Думой (первое чтение)
отклонить законопроект",23.03.2022,Комитет Государственной Думы по защите конкуренции,Комитет Государственной Думы по защите конкуренции,, 090.000.000 Хозяйственная деятельность
419,"92207-8
О внесении изменений в Закон Российской Федерации ""О занятости населения в Российской Федерации"" (в части установления равной возможности мужчины и женщины на прохождение профессионального  обучения, получение дополнительного профессионального образования по направлению органов службы занятости)",22.03.2022,"Депутаты ГД С.В.Бессараб, Т.В.Буцкая, Л.И.Ковпак, О.А.Колесников","1.2 Прохождение законопроекта у Председателя Государственной Думы
направлен в комитет(ы) Государственной Думы - Профильный комитет: Комитет Государственной Думы по труду, социальной политике и делам ветеранов",23.03.2022,,"Комитет Государственной Думы по труду, социальной политике и делам ветеранов",,
420,"89802-8 (в архиве) 
О внесении изменений в Уголовный кодекс Российской Федерации и Уголовно-процессуальный кодекс Российской Федерации",18.03.2022,"Депутаты ГД В.В.Сипягин, В.В.Павлов, И.Н.Игошин, Л.И.Ковпак, О.А.Колесников","2.1 Принятие профильным комитетом решения о представлении законопроекта в Совет Государственной Думы (предварительное рассмотрение)
вернуть законопроект субъекту права законодательной инициативы для выполнения требований Конституции Российской Федерации и Регламента Государственной Думы",22.03.2022,,Комитет Государственной Думы по государственному строительству и законодательству,, 170.000.000 Уголовное право. Исполнение наказаний
422,"91310-8
О внесении изменения в статью 6-2 Федерального закона ""О государственной социальной помощи""",21.03.2022,"Депутаты ГД Я.Е.Нилов, Д.А.Свищев, А.Н.Диденко, С.Д.Леонов, Б.Р.Пайкин","1.2 Прохождение законопроекта у Председателя Государственной Думы
направлен в комитет(ы) Государственной Думы - Профильный комитет: Комитет Государственной Думы по труду, социальной политике и делам ветеранов",22.03.2022,,"Комитет Государственной Думы по труду, социальной политике и делам ветеранов",,
424,"82720-8
О внесении изменений в Федеральный закон ""О противодействии коррупции"" и в статью 8 Федерального закона ""О контроле за соответствием расходов лиц, замещающих государственные должности, и иных лиц их доходам""
(в части установления ограничений на раскрытие информации, относящейся к персональным данным, в отношении лиц, замещающих государственные должности, и иных лиц, обязанных предоставлять сведения о доходах, расходах, об имуществе и обязательствах имущественного характера)",05.03.2022,Депутат ГД В.М.Резник,"2.2 Рассмотрение Советом Государственной Думы законопроекта, внесенного в Государственную Думу (предварительное рассмотрение)
назначить ответственный комитет - Ответственный комитет: Комитет Государственной Думы по безопасности и противодействию коррупциипредставить отзывы, предложения и замечания к законопроекту - Срок представления отзывов, предложений и замечаний в комитет: 21.04.2022подготовить законопроект к рассмотрению Государственной Думойвключить законопроект в примерную программунаправить законопроект на заключение в Правовое управлениеназначить комитет-соисполнитель - Комитеты-соисполнители:  Комитет Государственной Думы по финансовому рынку",21.03.2022,Комитет Государственной Думы по безопасности и противодействию коррупции,Комитет Государственной Думы по безопасности и противодействию коррупции,Комитет Государственной Думы по финансовому рынку, 160.000.000 Безопасность и охрана правопорядка
425,"82494-8
О внесении изменений в отдельные законодательные акты Российской Федерации
(в части повышения эффективности государственного регулирования обеспечения плодородия земель сельскохозяйственного назначения)",05.03.2022,"Депутаты ГД А.В.Гордеев, В.И.Кашин, В.Н.Блоцкий, Н.И.Васильев, Р.И.Сулейманов; Сенаторы РФ А.П.Майоров, С.Г.Митин","2.2 Рассмотрение Советом Государственной Думы законопроекта, внесенного в Государственную Думу (предварительное рассмотрение)
назначить ответственный комитет - Ответственный комитет: Комитет Государственной Думы по аграрным вопросампредставить отзывы, предложения и замечания к законопроекту - Срок представления отзывов, предложений и замечаний в комитет: 19.04.2022подготовить законопроект к рассмотрению Государственной Думойвключить законопроект в примерную программунаправить законопроект на заключение в Правовое управлениеназначить комитет-соисполнитель - Комитеты-соисполнители:  Комитет Государственной Думы по экологии, природным ресурсам и охране окружающей среды",21.03.2022,Комитет Государственной Думы по аграрным вопросам,Комитет Государственной Думы по аграрным вопросам,"Комитет Государственной Думы по экологии, природным ресурсам и охране окружающей среды",
426,"82329-8
О внесении изменения в статью 217 части второй Налогового кодекса Российской Федерации
(в части изменения предельного размера дохода, освобождаемого от НДФЛ)",05.03.2022,"Депутаты ГД Я.Е.Нилов, Д.А.Свищев, С.Д.Леонов, А.Н.Диденко, Б.Р.Пайкин, С.А.Наумов; Сенаторы РФ Е.В.Афанасьева, И.Н.Абрамов","2.2 Рассмотрение Советом Государственной Думы законопроекта, внесенного в Государственную Думу (предварительное рассмотрение)
назначить ответственный комитет - Ответственный комитет: Комитет Государственной Думы по бюджету и налогампредставить отзывы, предложения и замечания к законопроекту - Срок представления отзывов, предложений и замечаний в комитет: 19.04.2022подготовить законопроект к рассмотрению Государственной Думойвключить законопроект в примерную программунаправить законопроект на заключение в Правовое управление",21.03.2022,Комитет Государственной Думы по бюджету и налогам,Комитет Государственной Думы по бюджету и налогам,," 080.000.000 Финансы,  080.100.000 Налоги и сборы,  080.100.020 Федеральные налоги и сборы"
429,"77706-8
О внесении изменений в статью 21 Федерального закона ""О рекламе""
(в части рекламы российской винодельческой продукции)",25.02.2022,"Депутаты ГД А.В.Гордеев, В.И.Кашин, В.Н.Блоцкий","2.2 Рассмотрение Советом Государственной Думы законопроекта, внесенного в Государственную Думу (предварительное рассмотрение)
назначить ответственный комитет - Ответственный комитет: Комитет Государственной Думы по экономической политикепредставить отзывы, предложения и замечания к законопроекту - Срок представления отзывов, предложений и замечаний в комитет: 21.04.2022подготовить законопроект к рассмотрению Государственной Думойвключить законопроект в примерную программунаправить законопроект на заключение в Правовое управлениеназначить комитет-соисполнитель - Комитеты-соисполнители:  Комитет Государственной Думы по аграрным вопросам",21.03.2022,Комитет Государственной Думы по экономической политике,Комитет Государственной Думы по экономической политике,Комитет Государственной Думы по аграрным вопросам, 090.000.000 Хозяйственная деятельность
431,"74726-8
О моратории на повышение размера вносимой гражданами платы за коммунальные услуги в период распространения новой коронавирусной инфекции",21.02.2022,"Депутаты ГД Я.Е.Нилов, Д.А.Свищев, С.Д.Леонов, А.Н.Диденко, Б.Р.Пайкин","2.2 Рассмотрение Советом Государственной Думы законопроекта, внесенного в Государственную Думу (предварительное рассмотрение)
назначить ответственный комитет - Ответственный комитет: Комитет Государственной Думы по строительству и жилищно-коммунальному хозяйствупредставить отзывы, предложения и замечания к законопроекту - Срок представления отзывов, предложений и замечаний в комитет: 25.04.2022подготовить законопроект к рассмотрению Государственной Думойвключить законопроект в примерную программунаправить законопроект на заключение в Правовое управление",21.03.2022,Комитет Государственной Думы по строительству и жилищно-коммунальному хозяйству,Комитет Государственной Думы по строительству и жилищно-коммунальному хозяйству,,
432,"73075-8
О внесении изменений в статью 68 Федерального закона ""Об охране окружающей среды""
(в части совершенствования деятельности  общественных инспекторов по охране окружающей среды)",17.02.2022,"Депутаты ГД А.А.Бичаев, Н.Р.Будуев, Н.С.Валуев, И.Ю.Кастюкевич, Д.Н.Кобылкин, А.Б.Коган, Ж.А.Рябцева, Е.М.Цунаева","2.2 Рассмотрение Советом Государственной Думы законопроекта, внесенного в Государственную Думу (предварительное рассмотрение)
назначить ответственный комитет - Ответственный комитет: Комитет Государственной Думы по экологии, природным ресурсам и охране окружающей средыпредставить отзывы, предложения и замечания к законопроекту - Срок представления отзывов, предложений и замечаний в комитет: 12.04.2022подготовить законопроект к рассмотрению Государственной Думойвключить законопроект в примерную программунаправить законопроект на заключение в Правовое управлениеназначить комитет-соисполнитель - Комитеты-соисполнители:  Комитет Государственной Думы по контролю",21.03.2022,"Комитет Государственной Думы по экологии, природным ресурсам и охране окружающей среды","Комитет Государственной Думы по экологии, природным ресурсам и охране окружающей среды",Комитет Государственной Думы по контролю,
435,"72369-8
О внесении изменений в Закон Российской Федерации ""О занятости населения в Российской Федерации"" в целях совершенствования мер защиты от безработицы граждан, испытывающих трудности в поиске работы",16.02.2022,"Депутаты ГД С.М.Миронов, Г.Ю.Семигин, О.А.Нилов, В.К.Гартунг, Д.Г.Гусев, А.А.Кузнецов, А.А.Ремезков, М.Г.Делягин, А.С.Аксененко, И.А.Ананских, Я.В.Лантратова; Сенатор РФ О.Н.Епифанова","2.2 Рассмотрение Советом Государственной Думы законопроекта, внесенного в Государственную Думу (предварительное рассмотрение)
назначить ответственный комитет - Ответственный комитет: Комитет Государственной Думы по труду, социальной политике и делам ветерановпредставить отзывы, предложения и замечания к законопроекту - Срок представления отзывов, предложений и замечаний в комитет: 20.04.2022подготовить законопроект к рассмотрению Государственной Думойвключить законопроект в примерную программунаправить законопроект на заключение в Правовое управление",21.03.2022,"Комитет Государственной Думы по труду, социальной политике и делам ветеранов","Комитет Государственной Думы по труду, социальной политике и делам ветеранов",, 060.000.000 Труд и занятость населения
440,"63475-8
О внесении изменения в статью 17.15 Кодекса Российской Федерации об административных правонарушениях
(о неприменении предусмотренных статьей административных штрафов к органам местного самоуправления)",31.01.2022,"Депутаты ГД Я.Е.Нилов, Д.А.Свищев, А.Н.Диденко, С.Д.Леонов","3.2 Рассмотрение Советом Государственной Думы законопроекта, представленного ответственным комитетом (первое чтение)
назначить комитет-соисполнитель",21.03.2022,Комитет Государственной Думы по государственному строительству и законодательству,Комитет Государственной Думы по государственному строительству и законодательству,"Комитет Государственной Думы по контролю, Комитет Государственной Думы по региональной политике и местному самоуправлению"," 020.000.000 Основы государственного управления,  020.060.000 Административные правонарушения и административная ответственность,  020.060.070 Отдельные виды административных правонарушений"
