,Name,Faction,Comittee,Comission
296,С.А.Пахомов,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по строительству и жилищно-коммунальному хозяйству,
297,Д.А.Певцов,НОВЫЕ ЛЮДИ,Комитет Государственной Думы по культуре,
298,Е.А.Первышов,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по строительству и жилищно-коммунальному хозяйству,['Комиссия Государственной Думы Федерального Собрания Российской Федерации по обеспечению жилищных прав граждан ']
299,А.П.Петров,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по охране здоровья,
300,В.А.Петров,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по региональной политике и местному самоуправлению,
301,С.В.Петров,ЕДИНАЯ РОССИЯ,"Комитет Государственной Думы по развитию гражданского общества, вопросам общественных и религиозных объединений",
302,Ю.А.Петров,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по государственному строительству и законодательству,
303,Н.Ю.Петрунин,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по энергетике,
304,В.Н.Пивненко,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по развитию Дальнего Востока и Арктики,
305,О.В.Пилипенко,ЕДИНАЯ РОССИЯ,,
306,В.В.Пинский,ЕДИНАЯ РОССИЯ,,['Комиссия Государственной Думы Федерального Собрания Российской Федерации по Регламенту и обеспечению деятельности Государственной Думы ']
307,Д.Ю.Пирог,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по физической культуре и спорту,
308,В.И.Пискарев,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по безопасности и противодействию коррупции,"['Комиссия Государственной Думы Федерального Собрания Российской Федерации по расследованию фактов вмешательства иностранных государств во внутренние дела России ', 'Комиссия Государственной Думы Федерального Собрания Российской Федерации по вопросам депутатской этики ', 'Комиссия Государственной Думы Федерального Собрания Российской Федерации по рассмотрению расходов федерального бюджета, направленных на обеспечение национальной обороны, национальной безопасности и правоохранительной деятельности ']"
309,В.Н.Плотников,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по аграрным вопросам,
310,В.В.Плякин,НОВЫЕ ЛЮДИ,Комитет Государственной Думы по промышленности и торговле,
311,Д.В.Погорелый,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по развитию Дальнего Востока и Арктики,
312,Н.В.Полуянова,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по малому и среднему предпринимательству,
313,А.А.Поляков,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по аграрным вопросам,
314,А.В.Полякова,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по контролю,
315,А.Н.Пономарев,ЕДИНАЯ РОССИЯ,"Комитет Государственной Думы по экологии, природным ресурсам и охране окружающей среды",
316,Е.Г.Попов,ЕДИНАЯ РОССИЯ,"Комитет Государственной Думы по информационной политике, информационным технологиям и связи",
317,А.С.Прокопьев,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по туризму и развитию туристической инфраструктуры,
318,А.В.Прокофьев,КПРФ,Комитет Государственной Думы по туризму и развитию туристической инфраструктуры,
319,М.Н.Прусакова,КПРФ,Комитет Государственной Думы по аграрным вопросам,
320,Р.В.Птицын,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по региональной политике и местному самоуправлению,
321,С.В.Разворотнева,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по строительству и жилищно-коммунальному хозяйству,['Комиссия Государственной Думы Федерального Собрания Российской Федерации по обеспечению жилищных прав граждан ']
322,В.Ф.Рашкин,КПРФ,Комитет Государственной Думы по делам национальностей,
323,Е.В.Ревенко,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по физической культуре и спорту,"['Комиссия Государственной Думы Федерального Собрания Российской Федерации по расследованию фактов вмешательства иностранных государств во внутренние дела России ', 'Комиссия Государственной Думы Федерального Собрания Российской Федерации по вопросам депутатской этики ']"
324,В.М.Резник,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по бюджету и налогам,
325,А.А.Ремезков,СПРАВЕДЛИВАЯ РОССИЯ – ЗА ПРАВДУ,Комитет Государственной Думы по бюджету и налогам,"['Комиссия Государственной Думы Федерального Собрания Российской Федерации по рассмотрению расходов федерального бюджета, направленных на обеспечение национальной обороны, национальной безопасности и правоохранительной деятельности ']"
326,В.И.Ресин,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по строительству и жилищно-коммунальному хозяйству,
327,В.С.Родина,ЕДИНАЯ РОССИЯ,"Комитет Государственной Думы по труду, социальной политике и делам ветеранов",
328,И.К.Роднина,ЕДИНАЯ РОССИЯ,,['Комиссия Государственной Думы Федерального Собрания Российской Федерации по вопросам депутатской этики ']
329,Р.Ю.Романенко,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по транспорту и развитию транспортной инфраструктуры,
330,М.В.Романов,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по контролю,
331,И.Н.Руденский,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по аграрным вопросам,
