,Name,Faction,Comittee,Comission
410,А.М.Хамитов,НОВЫЕ ЛЮДИ,Комитет Государственной Думы по физической культуре и спорту,
411,Н.М.Харитонов,КПРФ,Комитет Государственной Думы по развитию Дальнего Востока и Арктики,
412,Е.В.Харченко,ЕДИНАЯ РОССИЯ,,
413,М.Р.Хасанов,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по бюджету и налогам,
414,А.Е.Хинштейн,ЕДИНАЯ РОССИЯ,"Комитет Государственной Думы по информационной политике, информационным технологиям и связи",
415,Г.П.Хованская,СПРАВЕДЛИВАЯ РОССИЯ – ЗА ПРАВДУ,Комитет Государственной Думы по государственному строительству и законодательству,['Комиссия Государственной Думы Федерального Собрания Российской Федерации по обеспечению жилищных прав граждан ']
416,Г.Я.Хор,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по бюджету и налогам,"['Комиссия Государственной Думы Федерального Собрания Российской Федерации по рассмотрению расходов федерального бюджета, направленных на обеспечение национальной обороны, национальной безопасности и правоохранительной деятельности ']"
417,Д.А.Хубезов,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по охране здоровья,
418,Н.Г.Цед,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по финансовому рынку,
419,Е.М.Цунаева,ЕДИНАЯ РОССИЯ,"Комитет Государственной Думы по труду, социальной политике и делам ветеранов",
420,Н.Ю.Чаплин,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по бюджету и налогам,
421,Р.Б.Чемерис,НОВЫЕ ЛЮДИ,,['Комиссия Государственной Думы Федерального Собрания Российской Федерации по расследованию фактов вмешательства иностранных государств во внутренние дела России ']
422,А.В.Чепа,СПРАВЕДЛИВАЯ РОССИЯ – ЗА ПРАВДУ,,
423,С.В.Чепиков,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по государственному строительству и законодательству,
424,Б.А.Чернышов,ЛДПР,,
425,А.Ю.Черняк,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по туризму и развитию туристической инфраструктуры,
426,С.В.Чижов,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по бюджету и налогам,
427,А.Н.Чилингаров,ЕДИНАЯ РОССИЯ,,['Комиссия Государственной Думы Федерального Собрания Российской Федерации по вопросам депутатской этики ']
428,Р.Г.Шайхутдинов,ЛДПР,Комитет Государственной Думы по транспорту и развитию транспортной инфраструктуры,
429,В.А.Шаманов,ЕДИНАЯ РОССИЯ,"Комитет Государственной Думы по развитию гражданского общества, вопросам общественных и религиозных объединений",
430,С.А.Шаргунов,КПРФ,Комитет Государственной Думы по культуре,['Комиссия Государственной Думы Федерального Собрания Российской Федерации по вопросам депутатской этики ']
431,Ю.Н.Швыткин,ЕДИНАЯ РОССИЯ,,
432,М.С.Шеремет,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по безопасности и противодействию коррупции,
433,Г.В.Шилкин,НОВЫЕ ЛЮДИ,Комитет Государственной Думы по энергетике,['Комиссия Государственной Думы Федерального Собрания Российской Федерации по обеспечению жилищных прав граждан ']
434,А.В.Шипулин,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по физической культуре и спорту,
435,Н.В.Школкина,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по аграрным вопросам,
436,А.М.Шолохов,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по культуре,
437,И.Н.Шубин,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по бюджету и налогам,
438,В.Н.Шувалов,ЕДИНАЯ РОССИЯ,"Комитет Государственной Думы по экологии, природным ресурсам и охране окружающей среды",
439,А.Л.Шхагошев,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по безопасности и противодействию коррупции,['Комиссия Государственной Думы Федерального Собрания Российской Федерации по расследованию фактов вмешательства иностранных государств во внутренние дела России ']
440,М.В.Щапов,КПРФ,Комитет Государственной Думы по бюджету и налогам,"['Комиссия Государственной Думы Федерального Собрания Российской Федерации по рассмотрению расходов федерального бюджета, направленных на обеспечение национальной обороны, национальной безопасности и правоохранительной деятельности ']"
441,Н.М.Щеглов,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по охране здоровья,
442,А.В.Щербаков,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по транспорту и развитию транспортной инфраструктуры,
443,А.А.Ющенко,КПРФ,"Комитет Государственной Думы по информационной политике, информационным технологиям и связи",['Комиссия Государственной Думы Федерального Собрания Российской Федерации по расследованию фактов вмешательства иностранных государств во внутренние дела России ']
444,А.Ф.Ягафаров,ЕДИНАЯ РОССИЯ,"Комитет Государственной Думы по экологии, природным ресурсам и охране окружающей среды",
445,А.В.Якубовский,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по строительству и жилищно-коммунальному хозяйству,['Комиссия Государственной Думы Федерального Собрания Российской Федерации по обеспечению жилищных прав граждан ']
446,Е.А.Ямпольская,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по культуре,
447,И.А.Яровая,ЕДИНАЯ РОССИЯ,,
448,С.В.Яхнюк,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по аграрным вопросам,
